name,year,price,currency,mileage (km),fuel type,disp (cm3),city,link
BMW Seria 3,2005.0,29900.0,PLN,211336.0,Benzyna,2497.0,Radom,https://www.otomoto.pl/oferta/bmw-seria-3-2-5ix-super-stan-bogata-wersja-ID6DCn7G.html#0d5974c775
Opel Insignia 1.8,2010.0,28900.0,PLN,139000.0,Benzyna,1798.0,Ostrowiec Świętokrzyski,https://www.otomoto.pl/oferta/opel-insignia-spr-z-niemiec-1-8-benzyna-superstan-jak-nowa-navi-100-oryginal-ID6DBv8E.html#0d5974c775
Opel Insignia 2.0,2010.0,22900.0,PLN,200000.0,Diesel,1956.0,Łuków,https://www.otomoto.pl/oferta/opel-insignia-insignia-se-cdti-hatchback-130km-ID6DyaaQ.html#0d5974c775
Opel Insignia 2.0,2010.0,23400.0,PLN,173568.0,Diesel,1956.0,Ostrołęka,https://www.otomoto.pl/oferta/opel-insignia-wzorowy-stan-auta-mozliwe-dogodne-kredytowanie-ID6DzDfr.html#0d5974c775
BMW Seria 5,2004.0,15900.0,PLN,274321.0,Benzyna,2171.0,Czarnków,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-520i-benzyna-navi-pol-skory-ID6DzzU7.html#0d5974c775
Lexus IS 220,2006.0,19400.0,PLN,179000.0,Diesel,2231.0,Pruszków,https://www.otomoto.pl/oferta/lexus-is-oryginalny-przebieg-bezwypadkowy-promo-ID6DtRS5.html#0d5974c775
Opel Insignia 2.0,2009.0,29900.0,PLN,120000.0,Benzyna,1998.0,Kamieńsk,https://www.otomoto.pl/oferta/opel-insignia-hatchback-skora-navi-xenon-klimatronik-wentyle-ID6DAISx.html#0d5974c775
Renault Latitude 2.0,2011.0,19800.0,PLN,265545.0,Diesel,1995.0,Ostrów Wielkopolski,https://www.otomoto.pl/oferta/renault-latitude-2-0-dci-150-km-zarejestrowany-stan-bdb-ID6DxjxU.html#0d5974c775
Lexus IS 220,2007.0,18899.0,PLN,109258.0,Diesel,2231.0,Połaniec,https://www.otomoto.pl/oferta/lexus-is-lexus-is-220d-ID6DuPy0.html#0d5974c775
Toyota Avensis 1.8,2008.0,23500.0,PLN,73100.0,Benzyna,1794.0,Sierpc,https://www.otomoto.pl/oferta/toyota-avensis-ID6DBtWs.html#0d5974c775
BMW Seria 3 330d,2008.0,24000.0,PLN,289000.0,Diesel,2993.0,Kłodawa,https://www.otomoto.pl/oferta/bmw-seria-3-bmw-330d-2008-r-ID6DCldq.html#0d5974c775
BMW Seria 3 325i,2007.0,23900.0,PLN,178000.0,Benzyna,2497.0,Łask,https://www.otomoto.pl/oferta/bmw-seria-3-325i-218km-alu-klimatr-pdc-szyber-grzane-fotele-org-lakier178tkmserwis-ID6DxSXQ.html#0d5974c775
Honda Accord,2005.0,16900.0,PLN,188000.0,Benzyna,1998.0,Łask,https://www.otomoto.pl/oferta/honda-accord-2-0-155km-sport-alu-klimatron-skora-tempomat-bezwypadkowa-188tkmserwis-ID6DqquG.html#0d5974c775
Audi A6,2009.0,28900.0,PLN,220000.0,Diesel,2000.0,Korzeńsko,https://www.otomoto.pl/oferta/audi-a6-2-0-tdi-170km-salon-polska-i-wlasciciel-ID6DCiL4.html#0d5974c775
Kia Rio,2012.0,24000.0,PLN,141381.0,Benzyna,1248.0,Bielany Wrocławskie,https://www.otomoto.pl/oferta/kia-rio-1-2-cvvt-salon-polska-serwis-aso-klima-parktronic-ID6DBsq7.html#0d5974c775
Chevrolet Aveo,2012.0,22000.0,PLN,48768.0,Benzyna,1229.0,Piaseczno,https://www.otomoto.pl/oferta/chevrolet-aveo-1-2-i-16v-salon-polska-1-wlasciciel-serwis-aso-ID6DyL8f.html#0d5974c775
