name,year,price,currency,mileage (km),fuel type,disp (cm3),city,link
Volkswagen Passat,2005.0,21900.0,PLN,140000.0,Benzyna,1984.0,Lidzbark Warmiński,https://www.otomoto.pl/oferta/volkswagen-passat-2-0-benzyna-140-ooo-przebiegu-skora-navi-high-line-niemiecki-ID6DxG5r.html#347f4842a6
Audi A4,2006.0,19900.0,PLN,140344.0,Benzyna,1984.0,Oleśnica,https://www.otomoto.pl/oferta/audi-a4-2-0t-200km-6bieg-swietny-stan-kompl-serwis-w-audi-duza-navi-tempomat-ID6DySgf.html#347f4842a6
Ford Mondeo 2.0,2007.0,18900.0,PLN,215760.0,Benzyna,1999.0,Stargard Szczeciński,https://www.otomoto.pl/oferta/ford-mondeo-mondeo-2-0i-147-ps-titanium-navi-dvd-convers-plus-pdc-alu-16-serwis-ID6DxC18.html#347f4842a6
BMW Seria 7 735i,2001.0,22000.0,PLN,237000.0,Benzyna,3600.0,Brzeziny,https://www.otomoto.pl/oferta/bmw-seria-7-bmw-735i-e65-rok-2001-domykane-drzwi-import-niemcy-zamiana-ID6DBzWr.html#347f4842a6
Honda Accord 2.0,2007.0,24900.0,PLN,179000.0,Benzyna,1998.0,Płock,https://www.otomoto.pl/oferta/honda-accord-idealna-honda-accord-2-0i-vtec-155km-sport-17cali-ID6DzVYC.html#347f4842a6
Škoda Octavia,2009.0,22900.0,PLN,225000.0,Benzyna,1595.0,Szczecin,https://www.otomoto.pl/oferta/skoda-octavia-ID6DBzvz.html#347f4842a6
Ford Mondeo 2.0,2008.0,18800.0,PLN,182988.0,Benzyna,1999.0,Celiny,https://www.otomoto.pl/oferta/ford-mondeo-2-0i-145km-liftback-klimatronik-1-wlasciciel-ID6DxXFf.html#347f4842a6
Kia Magentis 2.0,2009.0,17900.0,PLN,180000.0,Benzyna,1998.0,Świdnica,https://www.otomoto.pl/oferta/kia-magentis-optima-2-0benzyna-164km-full-opcja-2009r-ID6DBz46.html#347f4842a6
BMW Seria 3 320i,2006.0,18300.0,PLN,246000.0,Benzyna,1995.0,Radłów,https://www.otomoto.pl/oferta/bmw-seria-3-bmw-e90-320i-150km-ID6DxCsv.html#347f4842a6
BMW Seria 3,2007.0,18300.0,PLN,180722.0,Benzyna,1995.0,Bielany Wrocławskie,https://www.otomoto.pl/oferta/bmw-seria-3-318-i-klima-parktronic-podgrzewane-siedzienia-alu-ID6DAzi5.html#347f4842a6
BMW Seria 3,2005.0,23000.0,PLN,188000.0,Benzyna,2497.0,Gorzów Wielkopolski,https://www.otomoto.pl/oferta/bmw-seria-3-bmw-3-e90-2-5benzyna-218km-ID6DyOLt.html#347f4842a6
Toyota Avensis 1.8,2008.0,23500.0,PLN,73100.0,Benzyna,1794.0,Sierpc,https://www.otomoto.pl/oferta/toyota-avensis-ID6DBtWs.html#347f4842a6
Audi A6 2.4,2004.0,22900.0,PLN,223000.0,Benzyna,2393.0,Pionki,https://www.otomoto.pl/oferta/audi-a6-a6-2-4-177km-manual-xenon-alkantary-kolorowa-navi-bezwypadkowa-ID6DBujZ.html#347f4842a6
Audi A6,2004.0,23001.0,PLN,235792.0,Benzyna+LPG,3123.0,Katowice,https://www.otomoto.pl/oferta/audi-a6-3-2-fsi-gaz-automat-vat-23-navi-klimatronic-tempomat-ID6DzCNI.html#347f4842a6
BMW Seria 3,2005.0,20900.0,PLN,149800.0,Benzyna,1995.0,Gdańsk,https://www.otomoto.pl/oferta/bmw-seria-3-320i-automat-stan-idealny-149800km-pisemna-gwarancja-przebiegu-ID6DyLe9.html#347f4842a6
Mercedes-Benz Klasa E 280,2005.0,24700.0,PLN,224200.0,Benzyna,2996.0,Września,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-e-280-3-0-v6-inst-lpg-brc-navi-webasto-dwa-komlety-kol-lato-zima-ID6DzCCB.html#347f4842a6
Volkswagen Passat 1.8,2009.0,23900.0,PLN,176770.0,Benzyna,1798.0,Mielec,https://www.otomoto.pl/oferta/volkswagen-passat-1-8-tsi-ID6DBrlP.html#347f4842a6
Audi A6 4.2,2004.0,21900.0,PLN,390000.0,Benzyna,4163.0,Radom,https://www.otomoto.pl/oferta/audi-a6-audi-a6-4-2-ID6Dxt4a.html#347f4842a6
Suzuki SX4,2008.0,15990.0,PLN,192007.0,Benzyna,1586.0,Białogard,https://www.otomoto.pl/oferta/suzuki-sx4-1-6-benz-107-km-perlowy-klimatronik-key-less-alu-halogeny-bezwypadkowy-ID6DxsbC.html#347f4842a6
Mercedes-Benz W124 (1984-1993),1990.0,24900.0,PLN,312600.0,Benzyna,3000.0,Kiekrz,https://www.otomoto.pl/oferta/mercedes-benz-w124-1984-1993-mercedes-300e-4-matic-wyjatkowy-stan-unikatowe-wyposazenie-ID6C4KTQ.html#347f4842a6
BMW Seria 7 745i,2001.0,19900.0,PLN,195000.0,Benzyna,4398.0,Mielżyn,https://www.otomoto.pl/oferta/bmw-seria-7-bezwypadek-stan-piekny-od-1-wlasciciela-prezes-banku-full-wypasazenie-ID6DBnXO.html#347f4842a6
BMW Seria 5 520i,2007.0,19000.0,PLN,175500.0,Benzyna,1995.0,Gdynia,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-e61-520i-2007r-bezwypadkowy-wyjatkowo-zadbany-egzemplarz-ID6DjMGp.html#347f4842a6
Volvo S40 2.4i,2006.0,18900.0,PLN,175632.0,Benzyna,2435.0,Radom,https://www.otomoto.pl/oferta/volvo-s40-2-4-5t-170-km-benzynka-xenon-navi-rdesign-top-ID6DBl3n.html#347f4842a6
Volkswagen Passat 2.0,2008.0,21800.0,PLN,211856.0,Benzyna+LPG,1984.0,Dobra,https://www.otomoto.pl/oferta/volkswagen-passat-vw-passat-2-0fsi-4motion-150km-gaz-prywatny-4x4-ID6DBjni.html#347f4842a6
Volvo 850 2.5,1994.0,22000.0,PLN,67300.0,Benzyna,2435.0,Świnoujście,https://www.otomoto.pl/oferta/volvo-850-niski-przebieg-1-wlasciciel-26lat-automat-skora-klima-ID6DBk7A.html#348b4246f2
Seat Exeo,2009.0,24900.0,PLN,126619.0,Benzyna,1781.0,Warszawa,https://www.otomoto.pl/oferta/seat-exeo-darmowa-dostawa-150km-klimatyzacja-automatyczna-ID6DBkfb.html#348b4246f2
Lexus IS 200,2004.0,22400.0,PLN,167500.0,Benzyna+LPG,1988.0,Kraków,https://www.otomoto.pl/oferta/lexus-is-200-ID6DBibQ.html#348b4246f2
Audi A4 2.0T,2005.0,21490.0,PLN,240000.0,Benzyna,1984.0,Tczew,https://www.otomoto.pl/oferta/audi-a4-b7-s-line-2-0-tfsi-200km-sedan-manual-czerwona-perla-ID6DBhYM.html#348b4246f2
Audi A6 2.4,2006.0,24900.0,PLN,232000.0,Benzyna,2393.0,Ostrów Mazowiecka,https://www.otomoto.pl/oferta/audi-a6-2-4-177km-manual-skora-bi-xenon-klimatronik-navi-serwis-niemcy-ID6DxrWT.html#348b4246f2
BMW Seria 5,2005.0,23500.0,PLN,244275.0,Benzyna,2497.0,Kalisz,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-e60-2005r-2-5-benzyna-218-km-warto-spojrzec-ID6DBgGR.html#348b4246f2
Volvo S40 2.4,2004.0,19000.0,PLN,156000.0,Benzyna,2435.0,Skórzewo,https://www.otomoto.pl/oferta/volvo-s40-ID6DzIDi.html#348b4246f2
BMW Seria 5 525i,2004.0,18999.0,PLN,217000.0,Benzyna,2494.0,Rzeszów,https://www.otomoto.pl/oferta/bmw-seria-5-z-niemiec-2-5-benzyna-192-km-oplacony-ID6DapZp.html#348b4246f2
BMW Seria 5,2005.0,19900.0,PLN,208190.0,Benzyna,2497.0,Piastów,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-e60-525-218km-xenon-18-felgi-borbet-czarne-sportsize-z-nimiec-pdc-ID6DoXrn.html#348b4246f2
Škoda Octavia 1.6,2012.0,18600.0,PLN,238000.0,Benzyna+LPG,1595.0,Katowice,https://www.otomoto.pl/oferta/skoda-octavia-skoda-octavia-2012-1-6-lpg-stan-bardzo-dobry-ID6DBdkb.html#348b4246f2
Mitsubishi Lancer 1.8,2008.0,21500.0,PLN,197000.0,Benzyna,1798.0,Łódź,https://www.otomoto.pl/oferta/mitsubishi-lancer-mitsubishi-lancer-1-8-144km-benzyna-2008r-ID6DbhYQ.html#348b4246f2
BMW Seria 5 520i,2003.0,16799.0,PLN,324000.0,Benzyna+LPG,2171.0,Katowice,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-e-60-2-2-benzyna-lpg-ID6Dxppw.html#348b4246f2
Peugeot 301,2015.0,25000.0,PLN,64244.0,Benzyna,1199.0,Bielany Wrocławskie,https://www.otomoto.pl/oferta/peugeot-301-1-2-salon-polska-1-wlasciciel-klima-tempomat-parktronic-ID6DzyZ5.html#348b4246f2
Nissan Tiida,2008.0,16700.0,PLN,71179.0,Benzyna,1598.0,Białogard,https://www.otomoto.pl/oferta/nissan-tiida-tylko-71-tys-km-1-6-bemz-110-km-i-wlasciciel-bezwypadkowy-serwisowany-ID6Dxsjp.html#348b4246f2
Ford Mondeo 2.0,2008.0,22800.0,PLN,285000.0,Benzyna,1999.0,Janiszewice,https://www.otomoto.pl/oferta/ford-mondeo-2-0-145km-titanium-duza-naviconvers-alcantarastartstopperfect-stan-ID6Dxk6n.html#348b4246f2
Audi A4 Avant,2005.0,15700.0,PLN,170300.0,Benzyna,1984.0,Szamotuły,https://www.otomoto.pl/oferta/audi-a4-audi-a4-200km-ID6DwwrB.html#348b4246f2
Opel Astra III,2010.0,20500.0,PLN,157106.0,Benzyna+LPG,1598.0,Kazimierz Dolny,https://www.otomoto.pl/oferta/opel-astra-zakupiony-w-salonie-samochodowym-w-lublinie-ID6DB7EQ.html#348b4246f2
Opel Vectra 1.8,2007.0,15900.0,PLN,168000.0,Benzyna,1796.0,Płock,https://www.otomoto.pl/oferta/opel-vectra-czarna-vectra-z-niemiec-1-8-benzyna-grzane-fotele-ID6DxjYP.html#348b4246f2
Chevrolet Cruze,2009.0,22900.0,PLN,165307.0,Benzyna,1598.0,Łódź,https://www.otomoto.pl/oferta/chevrolet-cruze-1-6-113km-salon-rp-stan-bdb-alufelgi-klimatyzacja-bezwypadkowy-ID6Dywe2.html#348b4246f2
Audi A4 1.8T,2005.0,24900.0,PLN,164000.0,Benzyna,1781.0,Dłutów,https://www.otomoto.pl/oferta/audi-a4-1-8t-benzyna-163km-164000km-sedan-xenon-g-fotele-chrom-pewny-przebieg-ID6DB6Ep.html#348b4246f2
Audi A4 1.8T,2005.0,24900.0,PLN,164000.0,Benzyna,1781.0,Dłutów,https://www.otomoto.pl/oferta/audi-a4-1-8t-benzyna-163km-164000km-sedan-xenon-g-fotele-chrom-pewny-przebieg-ID6DB6u5.html#348b4246f2
Mercedes-Benz Klasa E,2004.0,20300.0,PLN,172000.0,Benzyna,1796.0,Myślenice,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-mercedes-benz-klasa-e-200-kompressor-ID6DB6cr.html#348b4246f2
Mazda 6 Sport,2008.0,15999.0,PLN,149360.0,Benzyna,1999.0,Rzgów,https://www.otomoto.pl/oferta/mazda-6-mazda-6-2-0-active-full-opcja-ksenon-bosen-piekny-kolor-grafit-ID6DB5Uj.html#348b4246f2
Toyota Camry 2.4,2009.0,21500.0,PLN,104000.0,Benzyna,2362.0,Kalisz,https://www.otomoto.pl/oferta/toyota-camry-ID6DrlVl.html#348b4246f2
Peugeot 301 1.2,2013.0,22950.0,PLN,175000.0,Benzyna,1199.0,Gdańsk,https://www.otomoto.pl/oferta/peugeot-301-faktura-vat-cena-brutto-ID6CKg8g.html#348b4246f2
Volvo S40,2005.0,22000.0,PLN,239970.0,Benzyna+LPG,2435.0,Żukowo,https://www.otomoto.pl/oferta/volvo-s40-sprzedam-volvo-s40-2005-r-ID6DzDhD.html#348b4246f2
Škoda Octavia 1.6,2009.0,24900.0,PLN,189000.0,Benzyna,1595.0,Ponikiew Duża,https://www.otomoto.pl/oferta/skoda-octavia-1-6-mpi-idealny-do-lpg-klima-alu-serwis-gwarancja-ID6DB2rJ.html#348b4246f2
BMW Seria 3 318i,2006.0,16900.0,PLN,237500.0,Benzyna,1995.0,Ostrów Mazowiecka,https://www.otomoto.pl/oferta/bmw-seria-3-bmw-seria-3-e91-318i-ID6Dxj4i.html#348b4246f2
Mitsubishi Lancer 1.8,2008.0,22900.0,PLN,234954.0,Benzyna+LPG,1798.0,Kalisz,https://www.otomoto.pl/oferta/mitsubishi-lancer-mitsubishi-lancer-sedan-143km-cvt-ID6Dt6sB.html#348b4246f2
